name,ACH-000096,ACH-000127,ACH-000159,ACH-000189,ACH-000234,ACH-000246,ACH-000250,ACH-000262,ACH-000272,ACH-000313,ACH-000317,ACH-000375,ACH-000385,ACH-000411,ACH-000459,ACH-000484,ACH-000495,ACH-000600,ACH-000649,ACH-000684,ACH-000709,ACH-000792,ACH-000907,ACH-001163,ACH-001310,ACH-001398,ACH-001687,ACH-001688,ACH-002150,ACH-002189
ENSG00000148584,-0.0629,-0.0385,-0.147,0.194,-0.0759,-0.0277,-0.00939,0.068,-0.0304,-0.067,-0.258,-0.158,-0.248,0.0553,0.134,-0.0449,-0.157,-0.0921,-0.0291,-0.0843,0.00241,0.0259,-0.0186,-0.0816,0.0245,0.128,-0.111,0.0786,-0.00166,-0.165
ENSG00000175899,-0.0725,-0.0007,0.0617,-0.0483,-0.037,-0.00784,0.052,0.0616,-0.00217,0.0254,0.0308,-0.152,0.00928,-0.0353,-0.0871,-0.0545,0.0163,0.106,-0.0409,-0.0565,0.0722,0.0565,-0.00781,-0.0595,-0.0322,-0.208,0.126,-0.211,-0.122,-0.0112
ENSG00000128274,-0.231289514,-0.000689648,0.066212685,0.195504873,-0.108271962,-0.137312581,-0.058256624,0.055444343,-0.038953044,-0.038507716,0.065805359,-0.059391866,-0.013979715,-0.081998814,0.047651032,0.002546815,-0.009608565,-0.029420327,0.112727472,0.092517143,-0.480035585,0.040163956,-0.030225587,-0.006018267,-0.097542617,0.072625894,0.083279184,-0.212853827,-0.059756629,-0.106633622
ENSG00000118017,0.0713,0.0819,0.061,-0.152,-0.0662,-0.198,0.047,0.0784,-0.0484,0.039,-0.0933,-0.0829,0.105,-0.0551,-0.186,-0.0176,-0.0299,-0.00832,-0.016,-0.17,0.0152,0.04,-0.144,0.0254,-0.0181,-0.0249,-0.063,-0.188,0.00669,-0.0213
ENSG00000094914,-0.028125742,-0.249857757,-0.24980009,-0.363186261,-0.351650466,-0.161752946,-0.142359748,-0.305825544,-0.082110759,-0.166155173,-0.068176074,-0.203204459,-0.309331923,-0.202596733,-0.301144696,-0.177039343,-0.437373106,-0.133435983,-0.143243031,-0.163059816,0.012682909,-0.215550606,-0.271181902,-0.424918712,-0.307393842,-0.478518998,-0.074541986,-0.531584843,-0.058970247,-0.257226134
ENSG00000081760,-0.102,-0.0304,0.011,-0.0553,-0.225,0.00127,-0.0216,-0.0294,0.0542,0.0216,-0.0115,0.014,-0.165,-0.0467,-0.0854,0.105,-0.03,0.0497,-0.115,-0.109,-0.154,-0.0631,-0.0523,-0.0693,-0.273,0.123,-0.0858,0.00613,-0.0339,-0.0176
ENSG00000114771,0.13248924,-0.014095669,0.087329206,0.210344066,-0.014068903,0.071927111,0.039173102,-0.055522998,0.045299092,-0.009907984,-0.074461547,0.09115501,0.129595327,-0.014446793,0.110810174,0.139356366,0.185600729,0.151051595,-0.001115911,0.062352916,0.309410427,0.090622555,-0.064993718,0.107458281,-0.05874369,0.123634573,0.082466905,0.142947312,0.059637674,0.017423705
ENSG00000109576,-0.008009352,-0.015219684,-0.076040351,-0.104659396,-0.138011931,-0.15073368,-0.111602368,0.025977723,-0.051797512,0.027053001,-0.138426192,-0.095490722,-0.140386775,-0.09830085,-0.177143427,-0.093142907,-0.072170046,-0.044102449,-0.09685317,0.139280329,-0.098597402,-0.110395308,-0.171221248,0.107837287,-0.212363007,-0.094179356,-0.061917628,-0.217396038,-0.098813207,-0.126740524
ENSG00000103591,-0.399,-0.0824,0.0755,0.0703,-0.0132,0.0643,0.126,0.0239,0.0087,0.157,0.355,-0.0189,0.00392,0.00824,0.211,0.0432,0.0222,0.0982,-0.114,0.258,-0.233,0.0883,0.0249,-0.0915,0.0822,0.192,-0.0325,0.176,0.127,0.0959
ENSG00000115977,-0.0826,-0.197,-0.104,-0.292,-0.186,-0.147,-0.0434,-0.225,-0.288,-0.216,-0.0964,-0.0684,-0.245,-0.106,-0.277,-0.141,-0.25,-0.141,-0.172,-0.403,-0.0879,-0.0828,-0.482,-0.235,-0.243,-0.125,-0.199,-0.0649,0.102,-0.115
ENSG00000087884,-0.129,-0.0291,-0.111,-0.0808,-0.0651,0.0257,-0.0375,-0.213,0.00659,0.034,-0.217,-0.0192,0.0643,-0.0923,0.031,-0.225,-0.119,-0.0669,-0.07,-0.0371,-0.166,-0.193,-0.079,-0.0616,-0.178,-0.167,-0.0648,-0.147,-0.105,-0.037
ENSG00000127837,-1.05175878,-0.71489747,-1.57745185,-0.61636068,-1.43839602,-1.02076605,-0.8936709,-0.96571958,-1.35284939,-0.73476341,-1.27642348,-0.93772336,-1.38660439,-1.23535229,-0.33024381,-1.33594628,-1.12758834,-1.26513716,-1.00600885,-1.07661255,-0.70197258,-0.8985228,-0.85348156,-0.93327473,-0.70582773,-1.07573646,-0.79273592,-1.03384764,-0.9946787,-1.28399039
ENSG00000129673,-0.183524569,-0.138630442,-0.232917394,-0.042558328,-0.111813406,-0.150955672,-0.090084886,0.038164613,-0.021353334,-0.113624427,-0.184012423,0.05703831,-0.213438624,-0.137638744,-0.011723413,0.006424749,-0.062596228,-0.064750588,-0.045222758,-0.094392307,-0.138903953,-0.116580618,-0.151331645,-0.154778719,-0.0966406,-0.127170055,-0.126596639,-0.076683096,-0.017289033,-0.09880051
ENSG00000131043,-0.03596201,0.062603446,0.062175946,-0.098107976,0.005882428,0.020270762,-0.112901269,-0.185738001,-0.056138724,0.048515516,-0.031815889,0.002527763,0.08238878,0.096563327,0.117403077,0.106144553,-0.003696382,0.062497214,0.008945269,-0.204605362,-0.02102697,0.056432832,-0.059088217,0.00134793,-0.025493175,0.008799473,-0.118591783,-0.047350513,-0.022981971,-0.000955001
ENSG00000090861,-1.8203401,-1.818789,-2.0131517,-1.7313285,-1.8656619,-1.804781,-1.8246295,-1.7862628,-2.0732366,-2.0210956,-1.5411645,-2.1007364,-1.4057642,-1.6997219,-2.6693538,-1.8366414,-1.8528989,-2.0300379,-1.9177437,-1.699252,-1.7481095,-1.7640863,-2.1236053,-1.9852388,-1.8570193,-1.8921587,-1.7909324,-2.1919373,-1.9912588,-1.914702
ENSG00000124608,-0.43635679,-0.8052494,-0.10661263,-0.06446347,-0.2336697,-0.43394027,-0.22188799,-0.16974754,-0.18871214,-0.10927548,-0.65875301,-0.57683698,-0.44952727,-0.1308627,-0.6398624,0.01313259,-0.25843294,-0.1565868,-0.51764416,-0.07666332,-0.1118134,-0.15957136,-0.17949239,-0.73273633,-0.77277058,-0.6429807,-0.87446376,-0.32677904,-0.54263574,-0.33278343
ENSG00000157426,0.029620271,-0.032007591,-0.12208378,0.003223007,0.097349388,0.045486159,0.001494918,-0.032925715,-0.24548987,-0.019202435,0.010421798,0.130428186,-0.033526724,-0.049841536,0.077290487,0.178897543,-0.062226317,-0.110942604,-0.0814633,-0.198453434,-0.109090477,-0.146980202,0.009050317,-0.01361861,0.104952049,0.050266029,-0.099542281,-0.058088067,-0.030267699,0.028917921
ENSG00000149313,-0.588729943,-0.09059441,-0.032352533,-0.467745544,-0.309764278,-0.086559274,-0.435118099,-0.466805819,-0.324581414,-0.064118727,-0.048210242,-0.974642168,-0.2380044,-0.12071656,-0.08909871,-0.104015727,-0.331119703,-0.105390411,-0.799339442,-0.344206499,-0.309748789,-0.545295189,-0.214908598,-0.220941142,-0.587807829,-0.295109205,-0.493380935,-0.514465711,-0.42043129,-0.396563137
ENSG00000008311,0.0771,0.113,-0.086,0.0165,0.0159,-0.0204,0.0344,-0.0923,-0.00685,0.0674,-0.0284,0.0812,0.0357,-0.0273,-0.221,0.0834,0.0144,-0.0389,0.0366,-0.11,-0.273,0.103,0.161,0.0581,0.117,0.0906,-0.0208,0.158,0.0584,0.0542
ENSG00000276072,-1.14726734,-0.8831402,-1.12526261,-0.95840831,-0.76482143,-0.92122005,-0.87037464,-1.16767764,-1.10247261,-0.8851675,-0.93183365,-0.82220795,-0.82478741,-0.96795675,-1.07687328,-1.013813,-0.7001616,-1.07738708,-0.78768324,-0.81086481,-1.38069211,-0.89965315,-1.33948908,-0.83624615,-0.76399595,-0.90947897,-0.42509295,-1.05643904,-1.21438809,-0.98823164
ENSG00000181409,-0.044,-0.0924,-0.175,0.0118,-0.105,-0.182,-0.245,0.0623,-0.162,-0.23,-0.0839,0.471,-0.0587,-0.136,-0.00205,-0.211,-0.102,-0.148,-0.121,-0.0359,-0.0931,-0.256,-0.247,-0.257,-0.248,-0.178,-0.0153,0.0886,-0.125,-0.181
ENSG00000183044,0.045595882,-0.149504945,-0.060887717,0.218310224,-0.110240691,-0.045370951,-0.072243641,-0.082718195,0.001597717,-0.100089217,-0.166489684,0.138929535,-0.056480591,-0.070329698,-0.23412397,-0.039633076,-0.009562805,0.069193754,0.017879668,-0.159641159,-0.17990286,0.068190378,-0.133545109,0.05822601,-0.076614176,0.063530482,-0.016270027,-0.194170231,-0.0251337,-0.077446846
ENSG00000165029,-0.299,-0.0751,0.0271,-0.12,-0.0442,-0.0253,-0.0415,-0.0843,-0.00895,0.0642,-0.102,0.0153,-0.0417,-0.0629,0.0276,0.0588,0.0748,-0.0128,-0.23,0.0443,0.0604,0.0285,-0.118,-0.0608,-0.00202,0.0653,-0.0825,-0.0137,-0.275,-0.182
ENSG00000107331,-0.040097715,-0.013976031,0.031738773,0.19579579,-0.038665216,-0.093781955,-0.061926381,-0.101248863,-0.036125076,-0.040611023,-0.249790608,-0.126806865,0.044678058,-0.127064185,0.075347119,-0.025725664,-0.023711481,0.0915341,-0.172527946,0.053065724,-0.158108483,0.040036262,-0.022372399,0.002881764,-0.085923742,0.133892611,-0.155467305,-0.080516204,-0.089620742,-0.100923152
ENSG00000167972,-0.0737,-0.0735,-0.0895,-0.129,-0.0146,-0.0457,-0.056,0.06,-0.0194,-0.0848,-0.0261,0.108,-0.0842,-0.031,0.029,0.00317,0.0793,-0.0111,0.00626,-0.0288,0.147,0.038,-0.109,0.0547,-0.00832,0.0667,-0.0393,-0.0368,0.116,0.0148
ENSG00000198691,-0.116559471,-0.369007722,-0.300133039,-0.208515302,-0.209211552,-0.245249932,-0.260836215,-0.148590959,-0.450538248,-0.430397435,-0.262719096,0.033408758,-0.372086767,-0.22317976,-0.607551594,-0.084431112,-0.461100663,-0.31357227,-0.209666132,-0.309313809,-0.650875083,-0.13180619,-0.301472963,-0.097215933,-0.304094345,-0.043233069,-0.144580863,-0.14832519,-0.4343429,-0.495205634
ENSG00000154265,0.0831,-0.0176,-0.0539,0.0238,-0.0423,-0.0332,-0.0315,-0.0559,-0.0203,-0.0392,0.0462,-0.111,0.16,-0.0533,-0.125,0.0489,0.188,0.00253,-0.1,-0.135,-0.143,0.0117,-0.0193,-0.113,0.0606,-0.0155,-0.104,0.0837,-0.0242,0.0431
ENSG00000064687,-0.159451113,0.023979413,0.058014603,0.155789456,-0.009102612,-0.038938467,0.08428296,0.060450223,0.005836194,0.094855816,0.016892277,0.064251396,0.202563318,0.080169651,0.141234535,-0.007416095,-0.08643418,0.091899756,0.003152584,0.152183351,-0.259930007,-0.078239893,0.094748894,0.150554096,0.105573464,-0.156186774,0.127285866,0.234504254,0.020616582,0.026479317
ENSG00000141338,0.102,-0.0544,-0.0641,0.0857,-0.0765,-0.0314,-0.062,0.0043,-0.202,-0.152,0.00435,0.0888,-0.0147,-0.12,0.0158,0.0707,0.0408,-0.064,-0.083,-0.14,0.0351,0.0596,-0.0789,-0.102,0.0994,-0.278,-0.159,-0.041,-0.0457,-0.00469
ENSG00000085563,-0.216233617,-0.150434566,-0.07439664,0.061546924,-0.025348557,-0.12950886,-0.08558293,-0.360216973,-0.058546115,-0.137322712,-0.18763754,-0.182849466,-0.230844356,-0.097324874,-0.146490405,-0.142545478,-0.042832411,0.054163431,-0.154081727,-0.412483587,-0.284857205,0.015730429,-0.009449668,-0.170403847,-0.036958731,-0.108022568,-0.113389759,-0.088395481,-0.150522445,-0.082121943
ENSG00000135776,0.133371026,-0.144393441,-0.328588361,-0.243794204,-0.256955587,-0.131975953,-0.230959358,-0.373908557,-0.396855958,-0.031874008,-0.681561012,-0.287943319,-0.476710814,-0.225836372,-0.118515595,-0.167630023,-0.048851448,0.012433778,-0.274799879,-0.439932734,-0.521193769,0.036320409,0.022153526,-0.300064362,-0.206462155,-0.478455703,-0.469169195,-0.293713671,-0.12123787,-0.381829229
ENSG00000073734,0.0168,-0.101,-0.108,0.103,-0.209,-0.0108,-0.117,-0.0555,-0.0628,-0.0841,-0.17,-0.224,0.00493,0.00486,-0.186,0.137,0.0549,-0.00639,-0.062,-0.0194,0.0788,0.0615,0.0829,-0.133,-0.108,-0.0375,0.0179,0.0642,-0.0518,-0.00579
ENSG00000005471,0.189,-0.0563,-0.0913,-0.263,-0.0645,-0.0811,-0.0239,-0.229,-0.137,-0.207,-0.123,0.125,0.0116,-0.0775,-0.336,0.0319,-0.133,-0.0198,-0.0443,0.0469,-0.0979,-0.208,-0.0482,-0.128,-0.0193,-0.0688,-0.052,-0.101,-0.0669,-0.117
ENSG00000115657,0.0101,-0.0409,-0.0994,0.0224,-0.286,-0.0272,0.0523,-0.075,0.045,-0.0526,-0.113,0.0308,-0.0199,-0.0686,0.234,-0.13,-0.191,-0.04,-0.0693,-0.0286,-0.151,0.153,0.0984,0.095,-0.233,-0.0328,0.117,0.0419,-0.0224,0.0534
ENSG00000197150,0.133,0.00544,-0.0406,-0.24,-0.0268,0.0372,-0.0102,-0.0359,-0.13,-0.084,0.00966,0.0119,0.0652,0.00978,-0.128,0.0471,-0.0654,0.111,0.0395,0.0451,0.0289,0.0718,0.0726,0.0401,-0.0807,0.15,-0.0399,-0.0895,-0.0164,0.0179
